filename,total_pages,overlay_risk,flagged_pages,has_metadata,metadata_keys,has_attachments,attachment_count,has_annotations,annotation_count,has_forms,form_field_count,has_layers,layer_count,has_javascript,has_actions,has_thumbnails,incremental_updates,security_notes,error
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____026.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____027.pdf",14,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____028.pdf",12,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____029.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,YES,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____031.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____033-01.pdf",12,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____033-02.pdf",55,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____033-03.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____033.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____034.pdf",16,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____035.pdf",3,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____036.pdf",3,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____037.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____038.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____039-01.pdf",17,NO,0,YES,1,NO,0,YES,1,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____039.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____040-01.pdf",4,NO,0,YES,1,NO,0,YES,1,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____040.pdf",1,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____041.pdf",2,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____043.pdf",25,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____044.pdf",1,NO,0,YES,1,NO,0,YES,1,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
"Davies v. Indyke, No. 119-cv-10788 (S.D.N.Y. 2019)____045-01.pdf",3,NO,0,YES,1,NO,0,NO,0,NO,0,NO,0,NO,NO,NO,NO,pikepdf not available - some checks skipped,
